q,opt1,opt2,opt3,opt4,ans,exp,,
日本国憲法第26条において、すべて国民は法律の定めるところにより、その能力に応じてひとしく何を受ける権利を有するか。,参政権,教育を受ける権利,生存権,財産権,1,憲法26条は教育の権利と義務を規定しています。,,
教育基本法第1条において、教育は何を目指して行われなければならないとされているか。,国家の繁栄,人格の完成,経済の発展,真理の探究,1,教育基本法第1条は「教育の目的」として人格の完成を掲げています。,,
教育基本法第4条において、人種、信条、性別、社会的身分、経済的地位又は（　）によって教育上差別されないとされる。,出身地,国籍,門地,学歴,2,「門地（もんち）」とは家柄のことです。,,
学校教育法第1条に規定される「学校」に含まれないものはどれか。,幼稚園,特別支援学校,高等専門学校,専修学校,3,専修学校は一条校には含まれません。,,xs
地方公務員法第30条において、地方公務員は「全体の（　）」として職務を執行しなければならないとされる。,代表者,労働者,奉仕者,貢献者,2,全体の奉仕者としての誠実かつ公正な職務執行が求められます。,,
児童虐待を受けたと思われる児童を発見した場合、教職員はどこに通告する義務があるか。,警察署,教育委員会,福祉事務所又は児童相談所,民生委員,2,虐待防止法第6条により規定されています。,,
長崎県が推進している県民運動「ココロねっこ運動」の対象は誰か。,子ども,保護者,教職員,すべての県民,3,社会全体で子どもの成長を支える長崎県独自の運動です。,,
長崎県の教育ビジョンで掲げられている将来像「長崎っこ」の姿はどれか。,優しく強い,志をもち、未来を切り拓く,世界に羽ばたく,地域を愛する,1,長崎県が目指す教育の基本理念です。,,
ピアジェの認知発達理論において、抽象的な論理的思考が可能になり、仮説演繹的な思考ができる段階はどれか。,感覚運動期,前操作期,具体的操作期,形式的操作期,3,11歳以降から始まる段階です。,,
マズローの欲求階層説において、ピラミッドの最上位にある欲求は何か。,安全の欲求,社会的欲求,承認の欲求,自己実現の欲求,3,自己の可能性を最大限に発揮したいという欲求です。,,
ヴィゴツキーが提唱した、他者の援助があれば解決できるが自力では解決できない領域を何というか。,発達の閾値,最近接発達領域,臨界期,準備性,1,ZPD（Zone of Proximal Development）と呼ばれます。,,
『エミール』を著し、子どもの自然な成長を重視した「消極教育」を説いた人物は誰か。,ルソー,ペスタロッチ,フレーベル,ロック,0,近代教育思想に多大な影響を与えたルソーです。,,
「知は力なり」と述べ、経験と観察を重視する帰納法を提唱したイギリスの哲学者は誰か。,デカルト,ロック,ベーコン,カント,2,フランシス・ベーコンです。,,
日本最古の庶民教育機関とされる、空海が京都に創設した学校はどれか。,足利学校,綜芸種智院,金沢文庫,咸宜園,1,弘法大師空海による、身分を問わない教育施設です。,,
「生活が陶冶する」と述べ、スイスの孤児院などで直観教授を実践した民衆教育の父は誰か。,ペスタロッチ,フレーベル,ヘルバルト,デューイ,0,ペスタロッチは頭・心・手の調和的発達を説きました。,,
幼稚園の創始者であり、恩物（おんぶつ）と呼ばれる遊具を考案したのは誰か。,モンテッソーリ,フレーベル,ルソー,エレン・ケイ,1,世界初の幼稚園を設立しました。,,
「教育は生活の準備ではなく、生活そのものである」と述べ、経験主義を唱えた人物は誰か。,ブルーナー,デューイ,スキナー,バンデューラ,1,ジョン・デューイは問題解決学習の提唱者です。,,
1872年に公布された、日本初の近代的な学校制度を定めた法令は何か。,教育令,学校令,学制,教育基本法,2,学制は国民皆学を目指しました。,,
1890年に発布され、戦前の教育の根本理念とされた文書は何か。,五箇条の御誓文,教育勅語,教育基本法,大教授学,1,1948年に失効するまで教育の基準とされました。,,
1947年に制定され、戦後教育の憲法とも呼ばれた法律は何か。,日本国憲法,学校教育法,旧教育基本法,地方教育行政法,2,現在は2006年に改正されたものが適用されています。,,
現在の学習指導要領で重視されている、授業改善の視点はどれか。,個別学習,暗記中心学習,主体的・対話的で深い学び,一斉講義形式,2,アクティブ・ラーニングの視点とも呼ばれます。,,
不登校の定義において、年間何日以上の欠席があった場合を指すか。,10日以上,20日以上,30日以上,50日以上,2,病気や経済的理由を除いたものです。,,
いじめ防止対策推進法において、いじめはインターネットを通じて行われるものも含むか。,含まない,一定の条件で含む,含まれる,定義されていない,2,SNS等を通じた行為もいじめに該当します。,,
教師が期待をかけることで、子どもの成績が向上する現象を何というか。,ハロー効果,ピグマリオン効果,プラシーボ効果,アンダーマイニング効果,1,ローゼンタールらによって示されました。,,
集団内の好き嫌いや人間関係を可視化するために用いる図を何というか。,ヒストグラム,ソシオグラム,散布図,樹形図,1,モレノが考案した手法です。,,
1965年に「生涯教育」という概念をユネスコで提唱した人物は誰か。,ポール・ラングラン,イリイチ,ハッチンス,デューイ,0,生涯学習の原点となる考え方です。,,
江戸時代の藩校のうち、水戸藩に設置された著名なものはどれか。,日新館,弘道館,明倫館,養正館,1,水戸藩の有名な教育機関です。,,
江戸時代の私塾「咸宜園（かんぎえん）」を開き、身分を問わず教育した人物は誰か。,本居宣長,緒方洪庵,広瀬淡窓,吉田松陰,2,大分県の日田にありました。,,
